event,global_step,epoch,loss,eval_loss,train_loss,learning_rate
log,500,0.05,4.959,,,0.0009501
log,1000,0.1,4.5282,,,0.0009001
log,1500,0.15,4.3829,,,0.0008501
log,2000,0.2,4.2911,,,0.0008001
log,2500,0.25,4.1628,,,0.0007501
log,3000,0.3,4.0744,,,0.0007001
log,3500,0.35,4.0181,,,0.0006501
log,4000,0.4,3.9451,,,0.0006001
log,4500,0.45,3.8486,,,0.0005501
log,5000,0.5,3.8118,,,0.0005001
log,5500,0.55,3.7298,,,0.0004501
log,6000,0.6,3.7031,,,0.0004001
log,6500,0.65,3.6182,,,0.0003501
log,7000,0.7,3.5494,,,0.0003001
log,7500,0.75,3.538,,,0.0002501
log,8000,0.8,3.5335,,,0.0002001
log,8500,0.85,3.5126,,,0.0001501
log,9000,0.9,3.4525,,,0.0001001
log,9500,0.95,3.4689,,,5.01e-05
log,10000,1,3.5007,,,1e-07
log,10000,1,,,3.88143894,
